transaction_id,date,customer_id,product,category,quantity,unit_price,total_amount,discount,location,payment_method
TX-1001,2025-01-01,CUST_052,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Chennai,Net Banking
TX-1002,2025-01-01,CUST_053,Espresso Machine,Appliances,1,42999.0,42999.0,0.0,Delhi NCR,Debit Card
TX-1002,2025-01-01,CUST_053,USB-C Hub,Accessories,1,3499.0,3499.0,0.0,Delhi NCR,Debit Card
TX-1003,2025-01-01,CUST_059,Magic Mouse,Accessories,1,7900.0,7900.0,0.0,Delhi NCR,Debit Card
TX-1004,2025-01-01,CUST_039,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Delhi NCR,Debit Card
TX-1004,2025-01-01,CUST_039,Noise-Cancelling Headphones,Audio,1,19999.0,19999.0,0.0,Delhi NCR,Debit Card
TX-1005,2025-01-01,CUST_044,USB-C Hub,Accessories,1,3499.0,3499.0,0.0,Chennai,Net Banking
TX-1005,2025-01-01,CUST_044,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Chennai,Net Banking
TX-1006,2025-01-01,CUST_018,USB-C Hub,Accessories,1,3499.0,3499.0,0.0,Delhi NCR,Debit Card
TX-1006,2025-01-01,CUST_018,Stainless Steel Milk Pitcher,Appliances,2,1299.0,2098.0,500.0,Delhi NCR,Debit Card
TX-1007,2025-01-01,CUST_053,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Delhi NCR,UPI
TX-1007,2025-01-01,CUST_053,Magic Mouse,Accessories,1,7900.0,7900.0,0.0,Delhi NCR,UPI
TX-1007,2025-01-01,CUST_053,USB-C Hub,Accessories,1,3499.0,3499.0,0.0,Delhi NCR,UPI
TX-1008,2025-01-01,CUST_015,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Chennai,UPI
TX-1008,2025-01-01,CUST_015,Magic Mouse,Accessories,1,7900.0,7900.0,0.0,Chennai,UPI
TX-1008,2025-01-01,CUST_015,USB-C Hub,Accessories,2,3499.0,6498.0,500.0,Chennai,UPI
TX-1009,2025-01-02,CUST_011,Noise-Cancelling Headphones,Audio,2,19999.0,39498.0,500.0,Bengaluru,UPI
TX-1010,2025-01-02,CUST_012,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Delhi NCR,UPI
TX-1010,2025-01-02,CUST_012,Magic Mouse,Accessories,2,7900.0,15300.0,500.0,Delhi NCR,UPI
TX-1010,2025-01-02,CUST_012,USB-C Hub,Accessories,1,3499.0,3499.0,0.0,Delhi NCR,UPI
TX-1011,2025-01-02,CUST_044,Espresso Machine,Appliances,1,42999.0,42999.0,0.0,Pune,Net Banking
TX-1011,2025-01-02,CUST_044,Organic Coffee Beans 1kg,Pantry,1,1899.0,1899.0,0.0,Pune,Net Banking
TX-1011,2025-01-02,CUST_044,Stainless Steel Milk Pitcher,Appliances,2,1299.0,2098.0,500.0,Pune,Net Banking
TX-1012,2025-01-02,CUST_003,Espresso Machine,Appliances,1,42999.0,42999.0,0.0,Mumbai,Cash on Delivery
TX-1012,2025-01-02,CUST_003,Organic Coffee Beans 1kg,Pantry,1,1899.0,1899.0,0.0,Mumbai,Cash on Delivery
TX-1013,2025-01-02,CUST_027,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Mumbai,Credit Card
TX-1013,2025-01-02,CUST_027,Magic Mouse,Accessories,1,7900.0,7900.0,0.0,Mumbai,Credit Card
TX-1013,2025-01-02,CUST_027,USB-C Hub,Accessories,2,3499.0,6498.0,500.0,Mumbai,Credit Card
TX-1014,2025-01-02,CUST_052,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Chennai,Debit Card
TX-1015,2025-01-02,CUST_045,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Pune,UPI
TX-1015,2025-01-02,CUST_045,Magic Mouse,Accessories,2,7900.0,15300.0,500.0,Pune,UPI
TX-1015,2025-01-02,CUST_045,USB-C Hub,Accessories,2,3499.0,6498.0,500.0,Pune,UPI
TX-1016,2025-01-02,CUST_030,MacBook Pro M3,Electronics,1,149900.0,149900.0,0.0,Pune,Net Banking
TX-1016,2025-01-02,CUST_030,Magic Mouse,Accessories,1,7900.0,7900.0,0.0,Pune,Net Banking
